nome_da_propriedade,sede,municipio,coordenadas_x,coordenadas_y
Fazenda Paz de Deus,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Rancho Cezar,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda Confusão,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda GM,Sede A,Paragominas,,
Chacara Felicidade,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda Madrugada,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
Fazenda Nova Morada,Sede A,Paragominas,"02º 59' 45"" S","47º 21' 10"" W"
